EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 5516054982479940736,-0.130563,0.138542,124.51619104368,-47.65130098207,0.3451,0.1381,-4.056,0.152,7.703,0.162,18.82076,0.003437,1.630642,0.03921720957560032
Gaia EDR3 5516054982479941888,-0.1348,0.138435,124.50990060891,-47.6513972428,0.3506,0.0458,-3.719,0.051,6.147,0.055,16.869604,0.002833,1.236811,0.008323087014337873
Gaia EDR3 5516054982479946752,-0.131379,0.140509,124.51498683044,-47.64933138949,-0.0444,0.2189,-1.912,0.235,1.665,0.274,19.431332,0.003908,1.319662,0.05239911040996971
Gaia EDR3 5516054982479954304,-0.133599,0.142508,124.51169854127,-47.64732686053,-0.0118,0.0916,-1.982,0.103,3.193,0.111,18.205196,0.003062,1.096394,0.01853599920590526
Gaia EDR3 5516054982479959680,-0.135423,0.146001,124.50900488727,-47.64382923134,0.3977,0.0663,-4.463,0.076,2.364,0.078,17.548073,0.002898,1.440973,0.015902799402291133
Gaia EDR3 5516054982490211456,-0.133897,0.139941,124.51124656237,-47.64989318606,0.0559,0.3366,-2.633,0.378,2.268,0.395,19.838167,0.00499,1.367125,0.09150434473719907
Gaia EDR3 5516054986771510400,-0.14142,0.139493,124.50007832515,-47.65032111123,-0.0126,1.039,-5.564,1.161,5.16,1.193,20.748297,0.010587,1.897886,0.20590393837954685
Gaia EDR3 5516054986771514112,-0.134897,0.148854,124.50979637865,-47.64097759302,0.3046,0.468,-3.026,0.648,2.401,0.647,20.196602,0.006327,,
Gaia EDR3 5516054986771516928,-0.138066,0.13833,124.50505152309,-47.65149275348,,,,,,,20.929888,0.020415,0.958612,0.31060992982641195
Gaia EDR3 5516054986771518464,-0.138029,0.136085,124.50509743853,-47.65373789022,-0.3241,0.8746,-7.447,1.367,7.579,1.29,20.794538,0.010836,1.751059,0.18075897689056988
Gaia EDR3 5516054986783373696,-0.141507,0.137963,124.49994165493,-47.65185055768,0.3774,0.0982,-1.633,0.11,3.698,0.12,18.271357,0.003074,1.556084,0.02819947519692574
Gaia EDR3 5516054986783374208,-0.134723,0.149077,124.51005582817,-47.64075536832,0.6112,0.1908,-0.785,0.21,2.114,0.222,18.834263,0.004658,1.366268,0.03402766438452779
Gaia EDR3 5516054986783375488,-0.134241,0.144391,124.51075359494,-47.64544238032,0.7471,0.0456,-3.309,0.05,17.536,0.054,16.898594,0.002841,1.242436,0.008487446320796253
Gaia EDR3 5516054986783377152,-0.138118,0.132467,124.50495228873,-47.65735594741,4.9516,0.081,-31.531,0.09,27.94,0.096,17.8066,0.003045,3.079258,0.03800841483493086
Gaia EDR3 5516054986783377920,-0.133117,0.139565,124.51240340489,-47.65027106041,-0.1756,0.2239,-2.196,0.252,2.817,0.271,19.548254,0.004074,1.579777,0.07115723819381455
Gaia EDR3 5516054986783378688,-0.133949,0.136725,124.51115753066,-47.65310850414,0.4382,0.1897,-3.491,0.212,1.362,0.231,19.298391,0.003717,1.563349,0.056862583394705034
Gaia EDR3 5516054986783656704,-0.137844,0.127787,124.50534030005,-47.66203658052,-0.1114,0.2117,-1.493,0.236,1.583,0.258,19.432758,0.004087,0.989384,0.0606731852446488
Gaia EDR3 5516055016840332672,-0.149133,0.138843,124.48862593593,-47.65095006404,-0.6943,0.4124,-1.034,0.445,1.89,0.522,20.281197,0.006019,1.690596,0.13771852578876034
Gaia EDR3 5516055021131232768,-0.148249,0.142247,124.48995256934,-47.64754834183,1.1494,0.8499,-3.099,1.011,3.107,1.037,20.747072,0.011338,1.703985,0.22157456431585806
Gaia EDR3 5516055021131233280,-0.149482,0.139315,124.4881098073,-47.65047639261,,,,,,,20.996164,0.025106,,
Gaia EDR3 5516055021131236096,-0.148587,0.13709,124.48942843045,-47.65270386992,-0.2423,0.6042,-2.57,0.685,1.949,0.705,20.51625,0.007424,1.630234,0.14560672422752668
Gaia EDR3 5516055051199424512,-0.144422,0.140349,124.49562552073,-47.64945656972,1.3488,0.1361,7.514,0.151,-18.953,0.162,18.760155,0.003374,2.211739,0.04583470906735386
Gaia EDR3 5516055051205489920,-0.142559,0.143793,124.49840457364,-47.64601863526,0.072,0.4547,0.636,0.496,2.917,0.575,20.263905,0.006499,1.332714,0.08880810670759477
Gaia EDR3 5516055055490972160,-0.144822,0.147993,124.49506251119,-47.64181199623,1.3694,0.3275,-17.109,0.366,22.117,0.432,19.963823,0.005015,2.632542,0.10272024847004707
Gaia EDR3 5516055055490973440,-0.145135,0.145843,124.49458941076,-47.64396105418,,,,,,,20.986853,0.021987,1.74889,0.16251121822836953
Gaia EDR3 5516055055490976512,-0.143471,0.144924,124.49705586013,-47.64488428313,0.2774,0.3976,-1.26,0.457,1.898,0.495,19.997517,0.005501,1.36945,0.08157266548446564
Gaia EDR3 5516055055490988032,-0.136745,0.148512,124.50705185671,-47.64131514486,0.4838,0.603,-2.858,0.669,2.941,0.689,20.394554,0.006984,1.493219,0.21702288352437302
Gaia EDR3 5516055055490988544,-0.137227,0.147289,124.50633229036,-47.6425360573,0.2874,0.7439,-4.278,0.782,3.868,0.986,20.655516,0.008434,1.884106,0.16573686789679787
Gaia EDR3 5516055055502842496,-0.149704,0.14824,124.48781790219,-47.64155152224,0.2728,0.2804,-2.589,0.311,3.913,0.339,19.799824,0.004694,1.71806,0.08654334155524283
Gaia EDR3 5516055055502849152,-0.138815,0.146638,124.50397253393,-47.6431833297,0.1283,0.0511,-3.676,0.058,5.73,0.06,16.935354,0.002861,1.206505,0.008020137571828071
Gaia EDR3 5516055085559168640,-0.123536,0.144412,124.52664271807,-47.64544733397,0.0078,0.3959,-1.613,0.421,2.583,0.495,20.195026,0.005816,1.382729,0.12592146572964952
Gaia EDR3 5516055089850752384,-0.121072,0.149418,124.53031696412,-47.64044717307,0.1468,0.1374,-2.271,0.161,2.203,0.158,18.745451,0.003253,1.571613,0.044233425792590826
Gaia EDR3 5516055089862590848,-0.132328,0.147916,124.51360610743,-47.6419220991,0.1434,0.3098,-1.649,0.338,3.429,0.378,19.933249,0.004764,1.248989,0.08951018452049773
Gaia EDR3 5516055089862594560,-0.125362,0.148995,124.52394846326,-47.64086022404,1.013,0.0683,-5.976,0.078,5.729,0.075,17.556866,0.002922,1.735924,0.02000177792548449
Gaia EDR3 5516056322509455488,-0.044282,0.045041,124.64415428522,-47.74494607909,-0.0158,0.1678,-2.688,0.19,2.805,0.202,19.049582,0.003622,1.383963,0.04652543478112611
Gaia EDR3 5516056322509470208,-0.043706,0.049126,124.6450152094,-47.74086203246,0.8831,0.267,-1.053,0.305,3.15,0.329,19.525202,0.004247,1.766706,0.06998405530614879
Gaia EDR3 5516056322509471488,-0.036619,0.04978,124.65555560006,-47.74021317333,0.4103,0.2071,-3.622,0.233,-0.534,0.244,19.342499,0.00389,1.504827,0.07836649371002571
Gaia EDR3 5516056322509473024,-0.047489,0.050013,124.63939116646,-47.73997122485,0.5149,0.1344,-4.106,0.163,5.032,0.168,18.730047,0.003257,1.4027,0.02978187682078483
Gaia EDR3 5516056322509474432,-0.044317,0.050837,124.644109011,-47.73915029965,0.1671,0.2687,-2.636,0.304,2.695,0.354,19.599642,0.006308,1.820246,0.07946369733987758
Gaia EDR3 5516056322509479040,-0.037711,0.05228,124.65393339531,-47.73771182422,0.4031,0.3271,-2.476,0.363,2.947,0.414,19.943775,0.004845,1.231243,0.07923987136431346
Gaia EDR3 5516056322509479168,-0.042779,0.051842,124.64639775647,-47.73814685249,0.2748,0.1066,-1.332,0.125,3.532,0.127,18.38042,0.003112,1.358412,0.032630126819336684
