EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 2929401827431558528,-0.090111,0.098803,105.67466521075,-20.71817629991,0.3544,0.3225,0.962,0.264,1.882,0.345,19.623299,0.00399,1.138336,0.05857526664845741
Gaia EDR3 2929401827431598080,-0.087494,0.088398,105.67745644358,-20.72858292394,,,,,,,20.893816,0.017936,0.947855,0.196510440701747
Gaia EDR3 2929401827432928000,-0.091214,0.088999,105.67347875278,-20.72797976443,,,,,,,20.856798,0.01167,0.738327,0.2690533106827986
Gaia EDR3 2929401827437896832,-0.085273,0.096679,105.67983613536,-20.72030297141,0.5311,0.658,-2.333,0.762,4.54,1.131,20.12424,0.00601,1.966158,0.0926436253350013
Gaia EDR3 2929401827437898880,-0.088889,0.097546,105.67597027256,-20.71943336041,0.3465,0.2192,-0.516,0.186,2.781,0.248,19.141304,0.003427,1.212214,0.03721128597818873
Gaia EDR3 2929401827437904768,-0.086624,0.091102,105.67838858294,-20.72587880463,0.1446,0.0229,-1.653,0.02,1.365,0.024,15.116252,0.002765,1.481947,0.0051130134913821195
Gaia EDR3 2929401827437909248,-0.089905,0.089733,105.6748794213,-20.7272458712,0.2324,0.0533,-0.828,0.048,2.488,0.057,16.837374,0.002811,0.934488,0.008143273992132122
Gaia EDR3 2929401827437911040,-0.088044,0.087517,105.67686764466,-20.72946330074,0.111,0.122,0.619,0.105,1.066,0.126,18.336082,0.003005,1.111023,0.022475768821061143
Gaia EDR3 2929401827439357696,-0.085904,0.091489,105.67915852973,-20.72549286084,0.1926,0.2997,-0.73,0.253,1.513,0.344,19.538029,0.004104,1.261221,0.08223529299106859
Gaia EDR3 2929401857493368832,-0.072034,0.102983,105.69399384779,-20.71400605027,,,,,,,20.91053,0.014868,1.210451,0.2365203117372888
Gaia EDR3 2929401857493403648,-0.076954,0.111509,105.6887383114,-20.70547763419,0.1311,0.1634,-0.169,0.143,0.684,0.189,18.7488,0.00318,1.313397,0.03260240159835116
Gaia EDR3 2929401861791202432,-0.081193,0.108848,105.68420564928,-20.70813631054,-0.6539,0.3506,-0.903,0.307,1.377,0.415,19.89771,0.004444,1.400822,0.07130024310936621
Gaia EDR3 2929401861791215360,-0.07705,0.103286,105.68863176533,-20.71370036174,-0.5765,0.4219,1.932,0.357,-0.519,0.504,19.977797,0.005854,1.287119,0.09601382977922678
Gaia EDR3 2929401861791215488,-0.076677,0.103386,105.68903036368,-20.71360078905,-0.0492,0.4648,-0.381,0.379,2.728,0.553,20.068764,0.005425,1.078358,0.2652116756157503
Gaia EDR3 2929401861791254528,-0.085246,0.103825,105.67986953528,-20.71315733848,,,,,,,20.914537,0.014524,1.067297,0.22918559357061674
Gaia EDR3 2929401861792425088,-0.078702,0.099804,105.68686295872,-20.71718152442,,,,,,,20.891941,0.01312,1.245842,0.2575343840150563
Gaia EDR3 2929401861792540544,-0.075048,0.109683,105.69077505683,-20.70730435763,,,,,,,20.825731,0.010217,0.982994,0.16906138554757139
Gaia EDR3 2929401861792540800,-0.076701,0.113064,105.68900973762,-20.70392235443,,,,,,,20.995934,0.019453,0.708113,0.2521288548828356
Gaia EDR3 2929401861797609344,-0.078576,0.112438,105.68700528783,-20.70454759174,0.6572,0.0358,2.443,0.032,-6.376,0.04,16.040955,0.002781,1.017121,0.005604991238964516
Gaia EDR3 2929401861797609728,-0.068035,0.104494,105.69826996759,-20.71249704782,0.4105,0.0737,0.424,0.066,2.303,0.086,17.466108,0.002854,1.012539,0.01051727024806228
Gaia EDR3 2929401861797610880,-0.071888,0.106012,105.69415104586,-20.71097663566,-0.3038,0.5716,-0.858,0.463,4.14,0.669,20.329512,0.005622,1.273045,0.11553699016552164
Gaia EDR3 2929401861797616256,-0.077539,0.106124,105.68811055029,-20.71086209418,1.0919,0.0308,1.18,0.027,-6.683,0.033,15.776134,0.002773,1.08282,0.005386018090506156
Gaia EDR3 2929401861797622784,-0.081303,0.104727,105.6840852853,-20.71225731906,1.4471,0.0163,-3.036,0.014,9.286,0.017,10.976951,0.002763,1.107416,0.004721614977363654
Gaia EDR3 2929401861797930752,-0.081051,0.103712,105.68435365841,-20.71327237958,,,,,,,20.525862,0.012022,1.793009,0.09120337519666616
Gaia EDR3 2929401891853044992,-0.044002,0.08551,105.72395732847,-20.73149001124,-0.108,0.1655,-0.335,0.153,1.107,0.178,18.741636,0.003156,1.053724,0.028394198381143106
Gaia EDR3 2929401891856569856,-0.033944,0.080937,105.73471059674,-20.73606480329,0.8817,0.3066,-1.133,0.257,3.158,0.332,19.460346,0.003872,1.350987,0.0773563852686057
Gaia EDR3 2929401896150885760,-0.040209,0.089531,105.72801453557,-20.7274700936,-1.3322,1.6987,2.657,1.33,-5.009,1.794,20.84278,0.01156,1.716873,0.1951097685189398
Gaia EDR3 2929401896150903168,-0.03433,0.083158,105.73429815559,-20.73384385833,-0.1074,0.4052,-0.298,0.369,1.028,0.477,19.904753,0.0047,1.025824,0.06947090182132352
Gaia EDR3 2929401896150905216,-0.033634,0.081975,105.73504306063,-20.73502681955,0.8664,0.4796,-4.12,0.454,2.167,0.592,19.996542,0.004945,2.213421,0.13106508886623341
Gaia EDR3 2929401896150907904,-0.035033,0.082231,105.7335472922,-20.73477059946,0.3361,0.2683,0.02,0.236,2.675,0.296,18.953249,0.003619,1.177549,0.03262745640731352
Gaia EDR3 2929401896150908160,-0.033555,0.081048,105.73512652091,-20.73595448018,-0.5626,0.7873,-3.966,0.704,2.02,0.929,20.561848,0.007327,,
Gaia EDR3 2929401896152274304,-0.035977,0.079621,105.73253714466,-20.73738080017,,,,,,,20.867432,0.011689,1.758707,0.2729022783026811
