EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 5523422195716263808,-0.053194,0.033719,128.87656893412,-43.58626298856,,,,,,,20.95597,0.020394,1.582224,0.38027192644793045
Gaia EDR3 5523422195716273664,-0.056664,0.023234,128.87176513445,-43.59674512016,-0.881,0.4514,-1.536,0.485,3.799,0.588,20.26534,0.005394,2.190975,0.18420982851023315
Gaia EDR3 5523422195716285568,-0.050384,0.030882,128.88044531407,-43.58910230245,0.8746,0.3332,-3.806,0.374,4.373,0.363,19.936947,0.004965,2.188234,0.18524090316298383
Gaia EDR3 5523422195716289280,-0.053679,0.022305,128.87588640178,-43.59767696672,0.2615,0.1525,-3.846,0.161,5.159,0.173,18.871626,0.003482,2.28828,0.0640657733018783
Gaia EDR3 5523422195716292096,-0.05064,0.027313,128.88008809539,-43.59267169468,0.9572,0.7367,-5.561,0.773,4.043,0.855,20.762941,0.009343,1.761089,0.1948863233342184
Gaia EDR3 5523422195716307200,-0.049961,0.023507,128.88102074558,-43.59647781689,,,,,,,20.99964,0.019813,1.691696,0.45632240379977024
Gaia EDR3 5523422195716307456,-0.050875,0.021525,128.87975691562,-43.59845917236,0.3644,0.3125,-3.216,0.324,4.6,0.336,19.85114,0.004489,2.161871,0.09739784690579176
Gaia EDR3 5523422195716311424,-0.050698,0.020552,128.88000039102,-43.59943275526,-0.799,0.5417,-3.401,0.631,3.39,0.669,20.552279,0.007498,1.92289,0.1513839261674142
Gaia EDR3 5523422195718711168,-0.056323,0.017485,128.87222914274,-43.60249483627,-0.7276,1.0142,-4.211,0.968,5.743,1.294,20.709072,0.010351,1.696653,0.1593101169571132
Gaia EDR3 5523422195720612736,-0.057618,0.028136,128.87045478835,-43.59184207465,0.417,0.0116,-5.153,0.012,6.635,0.012,13.241447,0.00278,2.686423,0.004866219460211303
Gaia EDR3 5523422195720620544,-0.047024,0.027935,128.88508189251,-43.59205295421,0.6563,0.4614,-2.611,0.477,2.005,0.505,20.412165,0.006061,1.817127,0.21664588136629262
Gaia EDR3 5523422195722339840,-0.049902,0.031337,128.88111136965,-43.58864862798,0.201,0.1334,-3.574,0.153,3.845,0.157,18.562185,0.003236,2.191416,0.034569709463396214
Gaia EDR3 5523422225779043328,-0.091593,-0.004708,128.82347693901,-43.62464367307,0.0233,0.5167,-2.39,0.506,3.582,0.624,20.354565,0.006931,1.871901,0.16602700355076705
Gaia EDR3 5523422225779074176,-0.089972,0.007232,128.82574042062,-43.6127070655,0.2054,0.0505,-3.274,0.052,2.924,0.057,16.933477,0.002839,1.986242,0.011340125666191903
Gaia EDR3 5523422225782057856,-0.091362,0.007567,128.8238215396,-43.61236947577,-3.4476,1.1935,0.716,1.236,0.525,1.342,19.91187,0.013462,2.285589,0.1330037972506826
Gaia EDR3 5523422225782058240,-0.087306,0.001387,128.82941081845,-43.61855586402,0.1022,0.312,-1.587,0.349,2.842,0.361,19.909018,0.004758,2.453251,0.15806167075314356
Gaia EDR3 5523422230075905024,-0.086945,0.00748,128.8299212839,-43.61246341863,0.862,0.5032,-3.681,0.542,3.35,0.527,20.260696,0.006032,1.970926,0.1177241055086229
Gaia EDR3 5523422230075910272,-0.091722,-0.005475,128.82329580284,-43.62541074741,4.2313,0.2904,-11.463,0.298,3.827,0.322,19.732676,0.004723,0.301359,0.07849400998428192
Gaia EDR3 5523422230075912960,-0.090692,-0.005105,128.82471954791,-43.62504276021,0.5232,0.5288,-4.055,0.541,2.752,0.583,20.35087,0.005868,2.173525,0.18464271992544165
Gaia EDR3 5523422230075922048,-0.084042,0.004411,128.83392548801,-43.61553632943,-0.1408,0.4884,-2.49,0.538,1.799,0.615,20.434464,0.006659,1.960234,0.14941947569366343
Gaia EDR3 5523422230078642560,-0.087528,0.007407,128.82911603027,-43.61253518377,1.6103,1.6032,-2.398,1.186,5.921,2.376,20.933111,0.016961,,
Gaia EDR3 5523422230078880512,-0.091961,-0.000896,128.82297571563,-43.62083125362,-0.3359,0.9311,-4.418,1.612,3.031,1.146,20.792011,0.011357,1.826691,0.27083337062671103
