EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 5588805822895313536,-0.042801,-0.030681,114.64012149554,-33.87400981876,-0.1849,0.696,-0.517,0.618,2.608,0.623,20.55494,0.007154,1.305824,0.13959685865380636
Gaia EDR3 5588805822895741696,-0.041679,-0.02868,114.64147410449,-33.87200933157,1.3863,1.2127,-3.191,0.854,1.825,1.062,20.780054,0.010065,1.466194,0.2385693088044536
Gaia EDR3 5588805822895744768,-0.038799,-0.033172,114.64494122631,-33.87650303292,-1.3892,0.8733,-3.875,0.76,4.939,0.967,20.76061,0.009259,1.710939,0.3012358830034551
Gaia EDR3 5588805822896717696,-0.045271,-0.025034,114.63715072471,-33.86836175324,,,,,,,20.96857,0.029311,0.824787,0.45395064843299887
Gaia EDR3 5588805822900523264,-0.04214,-0.03239,114.64091695731,-33.87571867328,0.4435,0.0373,-1.733,0.035,0.443,0.037,16.169884,0.002797,1.367426,0.005765524695162544
Gaia EDR3 5588805822900523648,-0.045418,-0.027198,114.63697213399,-33.87052485436,0.4473,0.1105,-3.997,0.111,2.327,0.113,17.949194,0.003265,1.522182,0.016015589256131082
Gaia EDR3 5588805852959952256,-0.060407,-0.033618,114.61891432564,-33.8769359861,0.1085,0.2661,-1.585,0.26,2.731,0.257,19.532251,0.004117,1.466818,0.06171031261861582
Gaia EDR3 5588805852959965056,-0.063491,-0.028192,114.61520416857,-33.87150747643,0.6616,0.101,-1.257,0.098,1.267,0.102,18.140358,0.003022,1.472975,0.020250881899414902
Gaia EDR3 5588805852959966208,-0.065586,-0.027428,114.61268176674,-33.87074184231,0.0994,0.4758,-0.958,0.501,1.681,0.558,20.2709,0.005817,1.367388,0.13350557661000628
Gaia EDR3 5588805852959973760,-0.061522,-0.025233,114.61757819721,-33.86855043798,0.1777,0.1009,-0.722,0.098,1.793,0.105,18.200481,0.003047,0.830955,0.020585462884045343
Gaia EDR3 5588805852959975296,-0.055891,-0.024554,114.62436026918,-33.86787460297,0.531,0.2232,-1.848,0.215,4.472,0.224,19.305113,0.00382,1.680611,0.05195592838250646
Gaia EDR3 5588805852959981824,-0.06178,-0.022196,114.61727072046,-33.86551281,-0.1993,0.2827,-4.211,0.279,4.553,0.294,19.612383,0.004332,1.62542,0.07004067287941668
Gaia EDR3 5588805857250174976,-0.060502,-0.018823,114.61881284445,-33.8621410792,0.2169,0.7742,-2.311,0.706,-1.642,0.811,20.570627,0.008988,1.530291,0.17155618582321341
Gaia EDR3 5588805857251566208,-0.056953,-0.024851,114.62308144226,-33.86817176296,2.1844,0.281,-3.244,0.27,0.13,0.281,19.464157,0.004037,2.433424,0.08312105549054156
