EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final
Gaia EDR3 5241870493742540288,0.000173,0.008211,163.56038050079,-61.73179309087,-0.0626,0.0874,-4.595,0.098,1.784,0.089,17.819887,0.002964,2.233803,0.021061146619413395,0.9593
Gaia EDR3 5241870493742543872,0.000591,0.009346,163.56126370675,-61.73065781874,0.0034,0.142,-4.815,0.166,2.101,0.144,18.57978,0.003336,2.072535,0.040270702900327346,0.9622
Gaia EDR3 5241870493766120576,-0.001517,0.006559,163.55681113204,-61.73344518472,0.1637,0.1186,-4.423,0.129,1.662,0.114,17.832731,0.003559,1.972384,0.030573417442459627,0.9543
Gaia EDR3 5241870493766121344,0.002038,0.004132,163.5643176436,-61.73587176593,0.0988,0.0407,-4.627,0.047,2.179,0.039,16.342749,0.002803,1.773363,0.006379756217564436,0.9716
Gaia EDR3 5241870493766123520,0.003012,0.005503,163.56637544971,-61.7345006777,0.211,0.1525,-4.096,0.215,1.795,0.248,17.791164,0.003558,nan,nan,0.9705
Gaia EDR3 5241870493766125056,0.006245,0.005031,163.57320323,-61.73497242465,0.0981,0.2207,-4.955,0.238,2.232,0.219,19.052301,0.003808,nan,nan,0.9582
Gaia EDR3 5242058024890779904,-0.011912,-0.00456,163.53485232261,-61.74456209977,-2.0845,1.0825,-4.406,1.265,1.739,1.23,20.624907,0.010843,1.439259,0.4903676513507671,0.9637
Gaia EDR3 5242058059225529088,-0.0137,-0.001054,163.53107864571,-61.7410554368,-0.3678,0.2739,-4.688,0.322,1.872,0.271,19.399559,0.004502,1.455227,0.11546823701868106,0.9603
Gaia EDR3 5242058059240401280,-0.009061,0.008545,163.54088394985,-61.73145778373,0.0124,0.383,-3.805,0.46,2.024,0.417,19.885147,0.005192,1.667746,0.1109103604969275,0.9381
Gaia EDR3 5242058059251068160,-0.010302,0.002457,163.5382585487,-61.73754525797,0.3753,0.2126,-4.785,0.271,1.996,0.206,18.70363,0.003881,1.602428,0.10748228133681761,0.9616
Gaia EDR3 5242058063559227264,-0.010721,-0.000482,163.5373718508,-61.74048448477,0.2197,0.7039,-4.703,0.933,2.332,1.266,20.229994,0.007271,nan,nan,0.9638
Gaia EDR3 5242058063559229568,-0.011592,0.002005,163.53553253655,-61.73799652145,0.2823,0.0692,-4.684,0.074,1.881,0.074,17.101517,0.002901,nan,nan,0.9614
