EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final,membs_select
Gaia EDR3 3046141473780405504,0.042596,-0.047266,106.71018531851,-11.78060206945,0.134,0.0665,-0.479,0.069,1.535,0.063,16.847704,0.002875,1.301798,0.01008811690996476,0.9898,1
Gaia EDR3 3046146730816277504,-0.000534,0.044159,106.66612772629,-11.68917993025,0.1526,0.1727,-0.421,0.179,1.438,0.159,18.166956,0.003325,1.289991,0.025235365326631627,0.9957,1
Gaia EDR3 3046144772311037184,-0.002886,-0.007724,106.66372566058,-11.74106342417,0.1296,0.1337,-0.636,0.131,1.255,0.124,17.955063,0.003221,1.301947,0.02120610041558094,0.9957,1
Gaia EDR3 3046146490298086016,0.029916,0.036974,106.69722345263,-11.69636406771,0.1493,0.135,-0.415,0.143,1.41,0.125,17.942299,0.003241,1.265276,0.022140919929427575,0.9924,1
Gaia EDR3 3046143432281289088,0.039068,0.012131,106.70657284974,-11.72120601249,0.0752,0.2237,-0.678,0.237,1.526,0.238,18.692244,0.003972,1.341417,0.04642987097196706,0.9938,1
Gaia EDR3 3046144978469567872,0.015293,0.028101,106.68229023513,-11.70523743609,0.3047,0.1451,-0.664,0.148,1.405,0.135,18.087803,0.003335,1.407873,0.04049570899898897,0.9968,1
Gaia EDR3 3046144359994139392,-0.020949,-0.016974,106.64527499469,-11.75031263413,0.1666,0.1156,-0.745,0.117,1.352,0.105,17.773228,0.003088,1.291262,0.021359657428508386,0.9935,1
Gaia EDR3 3046145184627990400,-0.00222,0.02543,106.66440596716,-11.70790897676,0.313,0.145,-0.508,0.142,1.413,0.128,18.01441,0.003237,1.25557,0.04765955385945318,0.9971,1
Gaia EDR3 3046144776610167680,-0.003249,-0.004639,106.6633542849,-11.73797781935,0.1027,0.2757,-0.7,0.331,1.529,0.253,18.915104,0.004268,1.283323,0.1328936410376353,0.9959,1
Gaia EDR3 3046141409360509184,-0.005866,-0.03011,106.6606810722,-11.76344915068,-0.0016,0.1294,-0.547,0.131,1.334,0.13,17.972242,0.003187,1.266815,0.02628853309316741,0.9946,1
Gaia EDR3 3046141920452758144,0.01698,-0.001544,106.68401494415,-11.73488317444,0.3051,0.1437,-0.521,0.141,1.332,0.129,18.018902,0.003214,1.275543,0.024059275870875592,0.9968,1
Gaia EDR3 3046144948413524864,0.004636,0.010964,106.67140796235,-11.7223754962,0.2618,0.0993,-0.719,0.107,1.363,0.098,17.48931,0.003007,1.162878,0.01731994041994843,0.9965,1
Gaia EDR3 3046144944109800192,-0.004351,0.018395,106.66222886193,-11.71494404801,0.1187,0.1764,-0.643,0.206,1.24,0.176,18.347467,0.003495,1.461729,0.039522272885164196,0.9957,1
Gaia EDR3 3046146490298099456,0.031459,0.041671,106.69879821549,-11.69166625776,0.2762,0.3317,-0.484,0.298,1.512,0.283,18.97572,0.004328,1.242657,0.06456470473943803,0.9929,1
Gaia EDR3 3046144875390280576,0.007375,0.005294,106.67420494112,-11.72804539152,0.0885,0.1047,-0.407,0.102,1.404,0.096,17.532707,0.002987,1.226088,0.017967204350446825,0.9964,1
Gaia EDR3 3046141542495559936,0.03328,-0.028689,106.70066690968,-11.76202664767,0.2424,0.0973,-0.572,0.097,1.576,0.093,17.53106,0.002979,1.20565,0.019561461968369807,0.9939,1
Gaia EDR3 3046144948413529472,-0.003839,0.011472,106.66275171226,-11.72186709435,-0.0198,0.0799,-0.617,0.078,1.35,0.072,16.802721,0.003087,1.15227,0.015258279403387337,0.997,1
Gaia EDR3 3046147521090324352,-5.9e-05,0.064379,106.66661273505,-11.66896025245,0.2889,0.1799,-0.499,0.193,1.304,0.164,18.391537,0.00335,1.208836,0.04339876999893058,0.9933,1
