EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP probs_final
"Gaia EDR3 5246365773985776256" 0.088563 -0.141904 151.01872597297 -64.89176338647 0.1626 0.1296 -6.523 0.165 5.108 0.144 18.509562 0.003302 0.928232 0.024471254841953158 0.0
"Gaia EDR3 5246365773985778048" 0.079995 -0.140585 150.99852540551 -64.89047059584 0.1631 0.1203 -5.252 0.144 4.578 0.123 18.318611 0.00316 0.977171 0.02052657329221773 0.0
"Gaia EDR3 5246365773987491200" 0.080806 -0.134445 151.00039396585 -64.88432835085 0.1518 0.1061 -6.063 0.135 4.698 0.113 18.084082 0.003094 1.039471 0.019512982456946874 0.0
"Gaia EDR3 5246365773994771584" 0.080312 -0.132139 150.99921410285 -64.8820239674 -0.2606 0.2064 -2.372 0.244 1.36 0.204 18.999132 0.003755 0.712025 0.04701331392192422 0.0
"Gaia EDR3 5246365778287073408" 0.089027 -0.14994 151.01988386083 -64.89979734479 0.5149 0.1742 -7.186 0.219 4.333 0.182 18.923874 0.00356 1.239819 0.029992543969751075 0.0
"Gaia EDR3 5246365778287076736" 0.090262 -0.140896 151.02272243934 -64.89074906681 0.0273 0.1347 -4.128 0.173 2.574 0.149 18.49745 0.003303 1.007727 0.025484882082163113 0.0
"Gaia EDR3 5246365778287078016" 0.084817 -0.132814 151.00983045898 -64.88268537866 0.5416 0.2265 -7.34 0.251 4.085 0.213 19.187681 0.004094 1.314873 0.04167619276112757 0.0
"Gaia EDR3 5246365778287078144" 0.082275 -0.129785 151.00382090708 -64.87966408016 0.196 0.0799 -5.161 0.09 3.93 0.082 17.637888 0.002935 1.009397 0.01913542580309233 0.0
"Gaia EDR3 5246365778287078272" 0.090947 -0.139446 151.02432541909 -64.88929690897 0.0154 0.2508 -5.197 0.287 3.475 0.255 19.490625 0.004363 1.202583 0.05968381001749838 0.0
"Gaia EDR3 5246365778287078784" 0.087146 -0.134277 151.01533030171 -64.88414036836 0.243 0.2966 0.772 0.347 -0.658 0.308 19.622042 0.004758 1.711941 0.06420987546973801 0.0
"Gaia EDR3 5246365778287079168" 0.093474 -0.139902 151.03028336455 -64.88974450634 0.1864 0.2112 -4.815 0.243 3.176 0.227 19.260658 0.004013 0.901218 0.03977721637593535 0.0
"Gaia EDR3 5246365778287079936" 0.090614 -0.136385 151.02351534711 -64.88623709168 0.0119 0.1786 -4.821 0.221 3.605 0.183 18.87092 0.003579 0.867689 0.038444120262166676 0.0
"Gaia EDR3 5246365778287764736" 0.090658 -0.143138 151.02367331843 -64.89299042202 0.656 0.442 -7.294 0.578 4.208 0.554 20.08088 0.006324 1.932667 0.10615937902712361 0.0
"Gaia EDR3 5246365778289096448" 0.081454 -0.13947 151.0019558256 -64.88935183207 -0.0726 0.5107 -7.188 0.806 5.087 0.631 20.336931 0.007002 1.372807 0.18565230888812717 0.0
"Gaia EDR3 5246365778289098112" 0.084211 -0.130623 151.0083884882 -64.88049579586 0.5685 0.928 -5.999 1.159 7.518 1.076 20.695583 0.010265 1.6175 0.2838052233486304 0.0
"Gaia EDR3 5246365778289098752" 0.085338 -0.138046 151.01109830156 -64.88791495464 -0.5578 0.4249 -3.98 0.62 1.717 0.472 20.05674 0.006074 0.881359 0.10485697907935644 0.0
"Gaia EDR3 5246365778289099264" 0.085653 -0.132462 151.0117984177 -64.88233092015 0.1615 0.5308 -4.951 0.647 3.14 0.607 20.228926 0.006571 0.727062 0.16338649277512446 0.0
"Gaia EDR3 5246365778289101440" 0.091892 -0.137864 151.02654071755 -64.88771132814 1.7675 0.6093 -7.652 0.836 1.444 0.601 20.413948 0.007178 1.626749 0.1335714502980052 0.0
"Gaia EDR3 5246365778290637568" 0.088977 -0.139347 151.01968253189 -64.8892046249 0.0884 0.6256 -6.366 0.831 2.578 0.838 20.554365 0.008225 1.489729 0.1879303275994763 0.0
"Gaia EDR3 5246365778291076096" 0.07893 -0.137602 150.99599581618 -64.88749106953 -1.2462 1.2829 -13.703 1.943 5.708 1.331 20.876305 0.01134 0.996325 0.4140598568743576 0.0
"Gaia EDR3 5246365778291076608" 0.082765 -0.137161 151.00502917057 -64.88703807515 -0.2218 1.0507 -7.481 2.449 0.908 2.126 20.757135 0.013292 0.942169 0.1947584215697772 0.0
"Gaia EDR3 5246365778291080448" 0.08911 -0.14251 151.02001998655 -64.89236726858 -0.2276 0.9259 -1.592 1.726 1.536 1.184 20.75017 0.010492 1.04973 0.19395798654017185 0.0
"Gaia EDR3 5246365778291325952" 0.090328 -0.140319 151.02287309284 -64.89017221675 0.9472 1.7258 -7.518 1.782 3.656 2.603 20.901533 0.016043 2.167419 0.22448441312135986 0.0
"Gaia EDR3 5246365778299207936" 0.091421 -0.144738 151.02548594633 -64.89458688133 0.2037 0.065 -5.848 0.079 2.887 0.07 17.374153 0.002922 0.691116 0.010623169530710463 0.0
"Gaia EDR3 5246365778299208064" 0.090409 -0.141968 151.02307718369 -64.89182033614 0.8485 0.0513 -5.765 0.061 2.144 0.054 16.837225 0.00283 1.472591 0.007447302817656512 0.0
"Gaia EDR3 5246365778299208448" 0.081978 -0.130387 151.00312518439 -64.88026658414 0.8483 0.1206 -4.866 0.156 -0.449 0.138 18.241661 0.003143 1.844158 0.05075223365057408 0.0
"Gaia EDR3 5246365778299992832" 0.086205 -0.138525 151.01314399921 -64.88839137514 -2.7412 1.3773 -4.688 1.444 2.114 1.405 20.77209 0.011551 0.456629 0.27615964459802755 0.0
"Gaia EDR3 5246365778301971968" 0.082279 -0.142073 151.00391937742 -64.89195186419 0.5163 0.2655 -3.292 0.332 2.154 0.282 19.487047 0.004286 0.964716 0.05778111747589158 0.0
"Gaia EDR3 5246365808343881728" 0.095955 -0.132948 151.03607198603 -64.8827819896 0.3462 0.037 -7.146 0.042 5.044 0.039 16.176662 0.00283 1.275458 0.009403303065556496 0.0
"Gaia EDR3 5246365808343883904" 0.087718 -0.131607 151.01665730318 -64.88146873316 0.2407 0.0969 -6.572 0.117 5.243 0.108 18.028646 0.00303 0.927097 0.016208777274996356 0.0
"Gaia EDR3 5246365808343896832" 0.091797 -0.128012 151.02623533092 -64.87785972016 -0.0334 0.0783 -4.58 0.093 2.798 0.081 17.664665 0.002942 1.272722 0.01170363617638353 0.0
"Gaia EDR3 5246365808343897728" 0.089927 -0.127541 151.02182734623 -64.87739573844 0.244 0.1093 -5.348 0.137 3.399 0.12 18.170593 0.003112 0.917904 0.017958870511210652 0.0
"Gaia EDR3 5246365808343904896" 0.088057 -0.125992 151.01741158367 -64.87585281916 0.5002 0.0807 -4.482 0.096 0.016 0.085 17.755392 0.00298 1.141634 0.014579406152692414 0.0
"Gaia EDR3 5246365808343906176" 0.085723 -0.125343 151.01190958153 -64.87521122368 0.2762 0.2411 -4.944 0.299 2.454 0.26 18.215128 0.004485 0.993263 0.015433706619751322 0.0
"Gaia EDR3 5246365808343929600" 0.090688 -0.120092 151.02356146914 -64.86994397435 0.437 0.0747 -6.296 0.091 3.273 0.078 17.590881 0.002944 0.961925 0.011566111195637389 0.0
"Gaia EDR3 5246365808345545088" 0.093335 -0.123884 151.02982475168 -64.87372666284 0.5717 0.1162 6.007 0.149 -2.937 0.129 18.272816 0.003333 1.866621 0.031072227936158624 0.0
"Gaia EDR3 5246365808348381568" 0.088664 -0.131322 151.01888208812 -64.88118053333 0.285 0.1329 -5.739 0.168 1.977 0.152 18.377232 0.003195 0.99826 0.02898894248510429 0.0
"Gaia EDR3 5246365808354508928" 0.088309 -0.128401 151.01802315503 -64.87826055818 0.1827 0.1711 -3.759 0.226 2.922 0.184 18.855476 0.003664 0.815996 0.039217952599509 0.0
"Gaia EDR3 5246365808354509440" 0.093884 -0.133958 151.03120017541 -64.88379870067 -0.0766 0.1788 -6.517 0.208 5.011 0.183 19.006266 0.003746 0.934402 0.042554682890967276 0.0
"Gaia EDR3 5246365812646818048" 0.08975 -0.13546 151.02147385056 -64.88531503979 0.4303 0.2425 -9.1 0.342 4.334 0.245 19.014101 0.004471 "" "" 0.0
"Gaia EDR3 5246365812646819200" 0.086198 -0.126388 151.01303654083 -64.8762547409 0.1979 0.2667 -14.507 0.319 4.921 0.28 19.42055 0.004103 2.127687 0.07232659903130728 0.0
"Gaia EDR3 5246365812646819328" 0.091457 -0.1323 151.02546946179 -64.88214937421 -0.0284 0.3264 -3.419 0.356 1.073 0.322 19.785954 0.005006 1.017904 0.08310413923843339 0.0
